职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
AI中心-后端开发工程师（python）(J10185),中国移动通信有限公司研究院,10000人以上,硕士,北京,北京,西城区,1.5-3万·13薪,30000,15000,3年
Python开发工程师,天津美凯鑫商贸有限公司,少于50人,硕士,天津,天津,和平区,7-8千·13薪,8000,7000,2-6年
高级python开发工程师,金地（集团）深圳地产公司,500-1000人,本科,深圳,深圳,福田区,2.5-3万,30000,25000,5年及以上
python开发工程师,芯发威达电子（上海）有限公司,1000-5000人,本科,上海,上海,闵行区,1.2-1.7万,17000,12000,5年及以上
Python开发工程师,宁波伏特智能制造有限公司,500-1000人,本科,浙江省,宁波,鄞州区,8千-1.3万·14薪,13000,8000,3年及以上
Python应用开发工程师,深圳易弧文化科技有限公司,少于50人,本科,深圳,深圳,宝安区,1-2万,20000,10000,3-6年
软件开发工程师（python）,赛业（苏州）生物科技有限公司,500-1000人,大专,江苏省,苏州,太仓市,9千-1.2万·13薪,12000,9000,2年及以上
Python高级开发工程师,深圳铸泰科技有限公司,50-150人,本科,深圳,深圳,南山区,1.5-3万·13薪,30000,15000,3年及以上
Python软件工程师,昆山华恒机器人有限公司,500-1000人,本科,江苏省,苏州,昆山市,7千-1万,10000,7000,1年及以上
高级Python开发工程师（AI方向）,布廷恩工程管理（北京）有限公司,150-500人,本科,上海,上海,嘉定区,1.2-2.2万·13薪,22000,12000,3年及以上
python后端工程师,深圳市瑞微智能有限责任公司,少于50人,本科,深圳,深圳,宝安区,1.6-2.2万,22000,16000,3年及以上
python大数据分析工程师,江苏领焰智能科技股份有限公司,50-150人,大专,上海,上海,闵行区,6千-1.2万,12000,6000,2年及以上
Python量化交易工程师,广东时代互联科技有限公司,50-150人,本科,深圳,深圳,南山区,1-2万,20000,10000,3年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,福建省,泉州,丰泽区,8千-1.3万,13000,8000,无需经验
Python全栈工程师,杭州研一智控科技有限公司,50-150人,本科,浙江省,杭州,钱塘区,1.7-2.5万·14薪,25000,17000,5年及以上
Python数据工程师,青岛清数科技有限公司,少于50人,本科,山东省,青岛,高新区,6千-1万,10000,6000,1年
Python软件开发工程师,河南端琪实业发展有限公司,150-500人,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,陕西省,西安,雁塔区,8千-1.3万,13000,8000,无需经验
Python 软件工程师,南京艾影科技有限公司,少于50人,本科,江苏省,南京,江宁区,8千-1.2万·15薪,12000,8000,1年及以上
Python软件开发工程师,河南秋瑭实业发展有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,江苏省,苏州,姑苏区,8千-1.3万,13000,8000,无需经验
Python后端研发工程师,中国国际人才开发中心有限公司上海分公司,,本科,北京,北京,海淀区,2-3万,30000,20000,1年及以上
高级Python开发工程师,上海全晓信息技术有限公司,150-500人,本科,上海,上海,浦东新区,2.5-4万,40000,25000,5年及以上
Python软件工程师(J10748),深圳市英维克科技股份有限公司,1000-5000人,本科,深圳,深圳,龙华区,1.5-2.5万,25000,15000,3年及以上
python后端工程师,深圳有个大仓库供应链科技有限公司,50-150人,本科,深圳,深圳,南山区,1-1.5万,15000,10000,1-3年
Java&Python开发工程师（AI算法方向）,深圳市瑞维控股有限公司,150-500人,本科,深圳,深圳,南山区,1.5-2.5万·13薪,25000,15000,2年及以上
Python后端研发工程师,中国国际人才开发中心有限公司上海分公司,,本科,北京,北京,海淀区,2-3万,30000,20000,1年及以上
python开发工程师,上海精云信息科技有限公司,少于50人,硕士,上海,上海,普陀区,300元/天,,,2-5年
Python量化交易开发工程师,上海全晓信息技术有限公司,150-500人,本科,北京,北京,朝阳区,1.5-2.5万,25000,15000,2年及以上
Python数据工程师,上海轩田智能科技股份有限公司,500-1000人,本科,四川省,成都,金牛区,1.3-1.8万·13薪,18000,13000,3年及以上
Python工具开发工程师,中云信安（深圳）科技有限公司,少于50人,本科,深圳,深圳,南山区,1-2万,20000,10000,3年及以上
python开发工程师,青岛鹊山电力科技有限公司,少于50人,本科,浙江省,杭州,富阳区,10-15万/年,,,1年及以上
Python开发工程师-谱图数据分析,南京霍普斯科技有限公司,150-500人,本科,江苏省,南京,浦口区,1.2-2.1万·14薪,21000,12000,2年及以上
python数据开发工程师,悦活里,1000-5000人,本科,湖北省,武汉,洪山区,6千-1万,10000,6000,3年及以上
python后端开发工程师,翼果（深圳）科技有限公司,,本科,深圳,深圳,南山区,1-1.5万,15000,10000,1-3年
python爬虫开发工程师,河南甫得影视传媒有限公司,50-150人,,河南省,郑州,金水区,6-8千·13薪,8000,6000,无需经验
后端开发工程师（Python/Java）,沈苏科技（苏州）股份有限公司,500-1000人,硕士,上海,上海,徐汇区,1.2-1.6万,16000,12000,3年及以上
Python数据工程师,青岛清数科技有限公司,少于50人,本科,山东省,青岛,高新区,5千-1万,10000,5000,1年及以上
python开发工程师,北京垣械电子科技有限公司,500-1000人,大专,辽宁省,大连,沙河口区,8千-1.3万,13000,8000,无需经验
Python/java开发工程师,张家港富瑞特种装备股份有限公司,1000-5000人,本科,江苏省,苏州,张家港市,8千-1万,10000,8000,2-3年
初级Python开发/数据工程师,海搜科技（深圳）有限公司武汉分公司,150-500人,本科,北京,北京,海淀区,1.5-3万·15薪,30000,15000,1年
Python软件工程师,广州市喜越汽车设备有限公司,50-150人,本科,广东省,广州,黄埔区,1-1.5万·13薪,15000,10000,1-3年
python 软件开发工程师,苏州市伯太数字科技有限公司,少于50人,大专,江苏省,苏州,相城区,1-1.5万,15000,10000,1年及以上
python大数据分析工程师,江苏领焰智能科技股份有限公司,50-150人,大专,上海,上海,闵行区,6千-1.2万,12000,6000,2年及以上
Python数据开发工程师（Data Engineer）,海南钦诚软件技术有限公司,,本科,广东省,广州,天河区,1.7-2.3万,23000,17000,5年及以上
python开发工程师,无锡锂云科技有限公司,少于50人,本科,江苏省,无锡,惠山区,6千-1万,10000,6000,1年及以上
Python开发工程师（全栈））,杭州研一智控科技有限公司,50-150人,本科,浙江省,杭州,钱塘区,1.6-2.5万·14薪,25000,16000,5年及以上
python开发工程师,深圳市晨特电子有限公司,,大专,深圳,深圳,宝安区,6千-1.2万,12000,6000,1-3年
Python开发工程师,武汉吉嘉时空信息技术有限公司,50-150人,本科,湖北省,武汉,江夏区,1-1.8万,18000,10000,1年
初级Python开发工程师,知行奇点（苏州）计算机技术有限责任公司,,本科,江苏省,苏州,吴中区,8千-1.3万,13000,8000,1年及以上
python开发工程师,上扬软件（上海）有限公司,150-500人,本科,江苏省,南京,江宁区,1-1.5万,15000,10000,1年及以上
Python开发工程师,北京和牧兴邦网络技术有限公司,少于50人,大专,江苏省,苏州,姑苏区,6-8千,8000,6000,1年
Python开发工程师,上海恪数科技有限公司,少于50人,高中,上海,上海,黄浦区,7-8千·13薪,8000,7000,1-4年
Python开发工程师,东莞市晨特电子技术服务有限公司,少于50人,大专,广东省,东莞,长安镇,8千-1.6万,16000,8000,1年
软件开发工程师（python）,赛业（苏州）生物科技有限公司,500-1000人,大专,江苏省,苏州,太仓市,9千-1.2万·13薪,12000,9000,2年及以上
Python 开发工程师,北京垣械电子科技有限公司,500-1000人,大专,江苏省,南京,鼓楼区,8千-1.3万,13000,8000,无需经验
Python 数据工程师,东莞市太粮米业有限公司,1000-5000人,本科,广东省,东莞,厚街镇,7千-1万,10000,7000,2年及以上
python软件开发工程师,赛思科技（西安）有限公司,50-150人,本科,陕西省,西安,未央区,8千-1万,10000,8000,3年及以上
Python数据工程师,上海轩田智能科技股份有限公司,500-1000人,本科,四川省,成都,金牛区,1.3-1.8万·13薪,18000,13000,3年及以上
python爬虫助理工程师,安徽雅云晖智能科技有限公司,,本科,安徽省,合肥,庐阳区,4-6千,6000,4000,1年
python软件开发工程师,北京中安智能信息科技有限公司,50-150人,本科,江苏省,南京,江宁区,1.5-3万·14薪,30000,15000,3-5年
Java&Python开发工程师（AI算法方向）,深圳市瑞维控股有限公司,150-500人,本科,深圳,深圳,南山区,1.5-2.5万·13薪,25000,15000,2年及以上
Python自动化工程师,上海天籍信息科技有限公司,少于50人,本科,上海,上海,虹口区,6千-1.2万,12000,6000,1年及以上
Python人工智能应用工程师,四川信诺智达通信技术有限公司,,大专,四川省,成都,成华区,3-5千,5000,3000,无需经验
高级python开发工程师,金地（集团）深圳地产公司,500-1000人,本科,深圳,深圳,福田区,2.5-3万,30000,25000,5年及以上
Python爬虫工程师 热门职位 5千-7千,北京尚行德智软件技术有限公司,,本科,北京,北京,海淀区,5-8千,8000,5000,1-3年
Linux/Python 开发工程师,上海锦瓯科技发展有限公司,少于50人,本科,上海,上海,嘉定区,5-8千,8000,5000,1年及以上
高级python开发工程师,金蝶软件（中国）有限公司,5000-10000人,本科,深圳,深圳,南山区,2.5-4万·14薪,40000,25000,5年及以上
python算法工程师,厦门凡祈丰科技有限公司,少于50人,本科,福建省,厦门,思明区,5千-1万·13薪,10000,5000,无需经验
高级python算法工程师,希美克（广州）实业有限公司,1000-5000人,本科,广东省,广州,增城区,1.5-3万,30000,15000,3年及以上
python高级开发工程师,深圳市晨特电子有限公司,,本科,深圳,深圳,宝安区,1.5-2万,20000,15000,3年及以上
资深AIoT架构工程师（Python）,上海千居智科技有限公司,少于50人,本科,上海,上海,闵行区,3-4.5万,45000,30000,3年及以上
AI中心-后端开发工程师（python）(J10185),中国移动通信有限公司研究院,10000人以上,硕士,陕西省,西安,雁塔区,1.5-3万·13薪,30000,15000,3年
AI工程师/python开发工程师,江苏领焰智能科技股份有限公司,50-150人,本科,上海,上海,闵行区,6千-1.2万,12000,6000,无需经验
C++/Python开发测试工程师r,河南列阁影视传媒有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
Python 后端开发高级工程师,励德爱思唯尔信息技术（北京）有限公司,1000-5000人,本科,上海,上海,长宁区,2.2-2.8万·13薪,28000,22000,4年及以上
AIGC Python开发工程师,金智维（福州）信息技术有限公司,150-500人,本科,北京,北京,朝阳区,2-3万,30000,20000,3年及以上
算法工程化（Python+LLM/NLP）工程师,上海昇迪凡科技术有限公司,1000-5000人,本科,上海,上海,浦东新区,2.5-3万,30000,25000,5年及以上
Python工具开发工程师,中云信安（深圳）科技有限公司,少于50人,本科,深圳,深圳,南山区,1-2万,20000,10000,3年及以上
软件开发工程师（Python）,重庆山外山血液净化技术股份有限公司,1000-5000人,本科,重庆,重庆,渝北区,1-1.5万·13薪,15000,10000,5年及以上
高级Python开发工程师,上海全晓信息技术有限公司,150-500人,本科,上海,上海,浦东新区,2.5-4万,40000,25000,5年及以上
Python软件工程师(J10748),深圳市英维克科技股份有限公司,1000-5000人,本科,深圳,深圳,龙华区,1.5-2.5万,25000,15000,3年及以上
Python/java开发工程师,张家港富瑞特种装备股份有限公司,1000-5000人,本科,江苏省,苏州,张家港市,8千-1万,10000,8000,2-3年
Python开发工程师,国泰君安期货有限公司,1000-5000人,硕士,上海,上海,静安区,1.2-2万·18薪,20000,12000,无需经验
数据处理工程师 （Python）,湖北良顷农业科技有限公司,50-150人,本科,湖北省,武汉,东湖新技术产业开发区,150元/天,,,无需经验
java/python软件开发工程师,深圳立德船舶智造技术有限公司,,本科,深圳,深圳,宝安区,1.5-2.5万,25000,15000,3年及以上
Java/Python初级开发工程师,广州合迪信息科技有限公司,少于50人,大专,广东省,广州,天河区,5-7千,7000,5000,无需经验
python自动化测试工程师,上海全晓信息技术有限公司,150-500人,本科,上海,上海,徐汇区,1.8-2.2万,22000,18000,3年及以上
python算法工程师,杭州富平科技有限公司,少于50人,本科,浙江省,杭州,滨江区,1-1.5万,15000,10000,无需经验
Python开发工程师（全栈））,杭州研一智控科技有限公司,50-150人,本科,浙江省,杭州,钱塘区,1.6-2.5万·14薪,25000,16000,5年及以上
助理 Python开发工程师实习生,成都市智计全球科技有限责任公司,50-150人,大专,四川省,成都,锦江区,4-6千,6000,4000,无需经验
python自动化测试工程师,海南钦诚软件技术有限公司,,本科,广东省,广州,天河区,1.7-2.3万,23000,17000,5年及以上
中级资源工程师-java/python方向,武汉万科祥盈管理服务有限公司,1000-5000人,本科,安徽省,合肥,蜀山区,7-9千,9000,7000,2年及以上
高级嵌入式工程师（Python方向）(J11165),深圳市创想三维科技股份有限公司,1000-5000人,本科,深圳,深圳,龙华区,2.5-3.5万,35000,25000,3年
Python 应用工程师,中煤科工集团智能矿山有限公司,50-150人,本科,天津,天津,河西区,1.2-1.5万·14薪,15000,12000,3-5年
python后端开发工程师（AGV调度平台）,浙江中力机械股份有限公司,1000-5000人,本科,浙江省,杭州,拱墅区,1.5-2万·13薪,20000,15000,3年及以上
Python开发工程师/IT运维与安全方向（合作伙伴）,深圳市南深人力资源股份有限公司,150-500人,本科,湖南省,长沙,岳麓区,1.5-1.8万,18000,15000,3年及以上
高级测试开发工程师（Python）,伟创力电脑（苏州）有限公司,10000人以上,本科,江苏省,苏州,吴中区,1.5-2.5万·14薪,25000,15000,5年及以上
python后端开发工程师（AGV调度平台）,浙江中力机械股份有限公司,1000-5000人,本科,浙江省,杭州,拱墅区,1.5-2万·13薪,20000,15000,3年及以上
中级资源工程师-java/python方向,武汉万科祥盈管理服务有限公司,1000-5000人,本科,安徽省,合肥,蜀山区,7-9千,9000,7000,2年及以上
python自动化测试工程师,海南钦诚软件技术有限公司,,本科,广东省,广州,天河区,1.7-2.3万,23000,17000,5年及以上
高级测试开发工程师（Python）,伟创力电脑（苏州）有限公司,10000人以上,本科,江苏省,苏州,吴中区,1.5-2.5万·14薪,25000,15000,5年及以上
拙盾-Python开发工程师,奇瑞汽车股份有限公司,10000人以上,本科,湖南省,长沙,岳麓区,15-30万/年,,,3年及以上
"软件工程师（C++/C, Java/C#, python）",上海全晓信息技术有限公司,150-500人,本科,江苏省,南京,溧水区,1.5-2.5万,25000,15000,3年及以上
自动化测试工程师（会python优先）,深圳鸿博智成科技有限公司,50-150人,大专,深圳,深圳,龙华区,1-1.5万,15000,10000,2年及以上
Python自动化测试工程师Selenium方向,上海坤德建设工程有限公司,150-500人,本科,上海,上海,宝山区,1.5-1.8万,18000,15000,5年及以上
对日JAVA、Python高级工程师,上海网擎信息系统有限公司,,本科,上海,上海,杨浦区,1.8-3.5万,35000,18000,5年及以上
智能制造工程师（Python）,圣戈班研发（上海）有限公司,150-500人,硕士,上海,上海,闵行区,1.2-1.7万,17000,12000,无需经验
自动化测试开发工程师-Java/python/C#,Alten China Limited,500-1000人,本科,辽宁省,沈阳,浑南区,9千-1万·13薪,10000,9000,2年及以上
软件(Python)应用工程师(AE/FAE),奇力速电动工具（上海）有限公司,150-500人,本科,上海,上海,嘉定区,1-2万,20000,10000,5年及以上
c#Python应用开发工程师,芯发威达电子（上海）有限公司,1000-5000人,本科,上海,上海,闵行区,1.2-1.5万,15000,12000,3年及以上
Python开发 设计师,深圳瑛雄建筑设计工程有限公司,50-150人,大专,湖南省,长沙,芙蓉区,5-7千·13薪,7000,5000,1年
Python数据分析师,上海六贤企业发展集团有限公司,50-150人,本科,江苏省,无锡,锡山区,8千-1.6万,16000,8000,2年及以上
python运维开发工程师,浩鲸云计算科技股份有限公司,1000-5000人,本科,北京,北京,东城区,1.4-2.4万,24000,14000,5年及以上
python后端开发,中伟新材料股份有限公司,1000-5000人,本科,湖南省,长沙,宁乡市,1-1.4万·13薪,14000,10000,1年及以上
数据分析师（SAS/R/Python）,北京裕荣医学数据科技有限公司,少于50人,本科,北京,北京,大兴区,1-2万·13薪,20000,10000,1年
python算法,中软国际科技服务有限公司,10000人以上,本科,深圳,深圳,龙岗区,1-1.5万,15000,10000,无需经验
量化python开发,北京福瑞私募基金管理有限公司,少于50人,本科,北京,北京,海淀区,8千-1.5万,15000,8000,无需经验
爬虫工程师,南京爱辉文化传媒有限公司,少于50人,本科,江苏省,南京,玄武区,6-9千,9000,6000,1年及以上
Blender Python,尊芯（上海）半导体科技有限公司,少于50人,本科,上海,上海,闵行区,1.2-2万,20000,12000,1-2年
Agent/AIGC应用开发工程师,亚信科技（中国）有限公司,10000人以上,本科,北京,北京,海淀区,1.2-2万·13薪,20000,12000,3年及以上
Python嵌入式软件工程师,上海嘉为信息技术有限公司,50-150人,本科,上海,上海,青浦区,1.5-2.5万,25000,15000,2年
嵌入式系统开发工程师（C++/Python）,浙江锦佳汽车零部件有限公司,150-500人,本科,浙江省,温州,瑞安市,2-3万,30000,20000,3年及以上
计量算法工程师/热力学/熟悉python或matlab,江苏高凯精密流体技术股份有限公司,500-1000人,本科,江苏省,常州,武进区,1.5-2万·13薪,20000,15000,无需经验
AI工程师（月薪1.5万-3万）,广州市九重天信息科技有限公司,少于50人,本科,广东省,广州,天河区,1.5-3万,30000,15000,2年及以上
AI辅助后端开发工程师,上海互普网络科技有限公司,50-150人,本科,上海,上海,宝山区,1.3-1.8万,18000,13000,4年及以上
数据开发工程师,深圳市紫川软件有限公司,500-1000人,本科,深圳,深圳,南山区,1.3-1.6万,16500,13000,5年及以上
AI工程师（南城）,东莞时力电子科技有限公司,10000人以上,本科,广东省,东莞,南城区,1-1.5万,15000,10000,1年及以上
人工智能教育平台研发工程师,上海云深网络技术有限公司,50-150人,本科,上海,上海,浦东新区,1-2万,20000,10000,1-3年
ai研发工程师,西安卓道航空科技有限公司,少于50人,本科,陕西省,西安,高新技术产业开发区,1-2万,20000,10000,2年及以上
人工智能工程师(J10662),东莞市德普特电子有限公司,10000人以上,本科,广东省,东莞,大岭山镇,1.5-3万,30000,15000,5年及以上
AI大模型开发工程师,武汉真道智享科技有限公司,50-150人,本科,浙江省,杭州,滨江区,1-1.8万,18000,10000,3年及以上
云平台DevOps工程师 (MJ000375),横河电机（中国）有限公司,500-1000人,本科,北京,北京,朝阳区,1.2-2万,20000,12000,无需经验
AI产品研发工程师,上海耀臣信息科技有限公司,50-150人,本科,上海,上海,浦东新区,2-4万·13薪,40000,20000,3年及以上
大数据开发工程师（贵州）,中通服建设有限公司,1000-5000人,大专,贵州省,贵阳,花溪区,8千-1.4万,14000,8000,3年及以上
AI软件工程师,武汉悉水科技有限公司,50-150人,本科,湖北省,武汉,汉阳区,1.2-1.8万,18000,12000,2年及以上
AI软件工程师,上海慧铂信息技术有限公司,少于50人,本科,上海,上海,宝山区,1.5-2.6万,26000,15000,无需经验
ETL开发工程师,海南钦诚软件技术有限公司,,本科,广东省,广州,天河区,1.3-1.7万,17000,13000,7年及以上
软件工程师（人工智能）,荣捷生物工程（苏州）有限公司,50-150人,本科,江苏省,苏州,苏州工业园区,1.5-2.5万·13薪,25000,15000,2年及以上
大模型应用开发工程师,湖南瑞霦科技有限公司,50-150人,本科,湖南省,长沙,天心区,1-2万,20000,10000,4年及以上
AI开发工程师,广州天越电子科技有限公司,150-500人,本科,广东省,广州,黄埔区,1.5-2万,20000,15000,3年及以上
ODOO高级开发工程师,深圳市易达恒通供应链管理有限公司,50-150人,大专,深圳,深圳,福田区,1.5-2万,20000,15000,3-4年
数据分析工程师,宜通世纪科技股份有限公司,10000人以上,本科,广东省,广州,天河区,1-1.2万,12000,10000,3年及以上
AI 工程师（开源大模型微调方向）,广州炳倡科技文化发展有限公司,,本科,广东省,广州,南沙区,2-4万,40000,20000,3年及以上
医学大数据工程师,慧算基因科技（上海）有限公司,150-500人,本科,上海,上海,浦东新区,8千-1.5万,15000,8000,1年
驻场支撑工程师（算法与模型）,广州海晟科技有限公司,50-150人,本科,广东省,广州,天河区,1.6-2万·13薪,20000,16000,2年及以上
AI算法工程师（大模型方向）,招银国际资本管理（深圳）有限公司,50-150人,本科,深圳,深圳,福田区,2.5-3.5万,35000,25000,1年及以上
人工智能工程师,上海慧铂信息技术有限公司,少于50人,本科,上海,上海,宝山区,1.5-2.6万·13薪,26000,15000,3年及以上
漏洞数据库开发工程师（项目团队招聘）,中新国际联合研究院,150-500人,本科,广东省,广州,黄埔区,1.5-2万,20000,15000,3-5年
算法支撑工程师（驻点）,广州海晟科技有限公司,50-150人,本科,广东省,广州,天河区,1.6-2万·13薪,20000,16000,2年及以上
资产管理中心-系统开发工程师（交易系统SRE） G01297,中信期货有限公司,1000-5000人,本科,上海,上海,浦东新区,1.3-2.5万,25000,13000,2年及以上
AI算法工程师-双休/vivo外包,深圳千域时代科技有限公司,150-500人,本科,上海,上海,浦东新区,2-3万,30000,20000,1年及以上
大模型算法工程师,中电信数智科技有限公司海南分公司,150-500人,本科,海南省,海口,龙华区,1-1.5万,15000,10000,1年及以上
数据应用工程师,河南秋瑭实业发展有限公司,,,河南省,郑州,管城回族区,6-8千·13薪,8000,6000,无需经验
算法支撑工程师（驻点）,广州海晟科技有限公司,50-150人,本科,广东省,广州,天河区,1.6-2万·13薪,20000,16000,2年及以上
大数据运维开发工程师助理应届生优先,武汉万竹汇科技有限公司,少于50人,大专,湖北省,武汉,洪山区,4-7千,7000,4000,无需经验
数据处理工程师,安阳呈泰信息技术服务有限公司,少于50人,大专,北京,北京,东城区,9千-1.4万,14000,9000,1年及以上
后端开发工程师（智能应用）,广东铭太信息科技有限公司,150-500人,本科,广东省,广州,天河区,1.1-2万,20000,11000,3年及以上
AI开发工程师,苏州晟成光伏设备有限公司,1000-5000人,硕士,江苏省,苏州,虎丘区,1.2-2万,20000,12000,2年及以上
AI大模型工程师,上海慧铂信息技术有限公司,少于50人,硕士,上海,上海,宝山区,1.8-2.6万,26000,18000,无需经验
Ai工程师,陕西汉威物联科技有限公司,少于50人,本科,陕西省,西安,高新技术产业开发区,1-1.5万,15000,10000,1年
AI算法工程师,前锦网络信息技术（上海）有限公司,5000-10000人,本科,广东省,广州,天河区,20-40万/年,,,3年及以上
AI辅助测试工程师,上海互普网络科技有限公司,50-150人,本科,上海,上海,宝山区,1.2-1.5万,15000,12000,3年及以上
人工智能开发工程师,苏州晟成光伏设备有限公司,1000-5000人,硕士,江苏省,苏州,虎丘区,1.2-2万,20000,12000,2年及以上
算法工程师（杭州）,熵基科技股份有限公司,1000-5000人,本科,浙江省,杭州,上城区,1.8-3万,30000,18000,3年及以上
大模型算法工程师（Agent方向）,前锦网络信息技术（上海）有限公司,5000-10000人,硕士,上海,上海,虹口区,30-55万/年,,,2-3年
数据标注工程师 自动化数据标注,Alten China Limited,500-1000人,本科,上海,上海,浦东新区,1.4-1.7万,17000,14000,3年及以上
ROS高级工程师(J10182),北京佰才邦技术股份有限公司,500-1000人,本科,上海,上海,浦东新区,2-3万,30000,20000,3年及以上
AI算法工程师,广东阿尔创通信技术股份有限公司,150-500人,本科,广东省,广州,天河区,1.8-2万,20000,18000,3年及以上
PHP后端工程师,浙江之阳仪器设备有限公司,50-150人,大专,浙江省,杭州,余杭区,7千-1.4万,14000,7000,1年
AIGC算法工程师,杭州高新技术产业开发区（滨江）人才管理服务中心,50-150人,硕士,浙江省,杭州,滨江区,30-60万/年,,,无需经验
生信算法工程师,深圳市留凤科技有限公司,少于50人,本科,深圳,深圳,光明区,1.2-1.8万,18000,12000,2年及以上
高性能计算高级工程师,上海登飞计算机科技有限公司,50-150人,本科,上海,上海,徐汇区,3-5万,50000,30000,3年及以上
AI深度学习算法工程师,上海慧铂信息技术有限公司,少于50人,本科,上海,上海,宝山区,1.5-2.4万,24000,15000,1年及以上
大模型算法工程师,广州天越电子科技有限公司,150-500人,本科,广东省,广州,黄埔区,1.5-2.5万,25000,15000,3年及以上
AI工程师(J11568),快助（天津）科技有限公司,50-150人,本科,北京,北京,朝阳区,6-8千,8000,6000,2年及以上
大模型算法工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,重庆,重庆,南岸区,1-1.4万·14薪,14000,10000,无需经验
AI算法与应用工程师,苏州紫山龙霖信息科技有限公司,50-150人,硕士,江苏省,苏州,高新区,1.5-3万·13薪,30000,15000,3年
高级大模型算法工程师,中电信数智科技有限公司海南分公司,150-500人,本科,海南省,海口,龙华区,1.7-2.3万,23000,17000,3-5年
AI工程师,深圳模德宝科技有限公司,150-500人,本科,深圳,深圳,南山区,5-6.5万,65000,50000,2年及以上
全栈开发工程师,上海虹迪物流科技有限公司,500-1000人,大专,上海,上海,闵行区,1.3-1.8万,18000,13000,3年及以上
大模型算法工程师,北京锐玑精械智能电子科技有限公司,50-150人,本科,四川省,成都,青羊区,1-1.4万·14薪,14000,10000,无需经验
软件工程师,长沙望城宝湾物流有限公司,少于50人,,上海,上海,徐汇区,1.2-1.5万,15000,12000,无需经验
中级全栈工程师（偏数据方向）,上海浩睿自控系统有限公司,少于50人,本科,湖北省,武汉,洪山区,1-1.5万,15000,10000,2年及以上
AI算法工程师,广东华南水电高新技术开发有限公司,150-500人,硕士,广东省,广州,天河区,1.2-1.8万,18000,12000,无需经验
生信算法工程师,深圳市留凤科技有限公司,少于50人,本科,深圳,深圳,光明区,1.2-1.8万,18000,12000,2年及以上
